HGNC
CAPG
COL1A1
COL1A2
COL4A1
COL4A2
COL4A3
COL4A4
COL4A5
COL4A6
CPNE1
CRP
CXCL8
CXCL9
CYBB
CYC1
DLK2
EGFL6
ELMO1
FBLN1
FJX1
FOLH1
FOLH1B
FOLR2
ITGA4
ITGB3
KDR
LAIR1
ME3
MMP1
MMP12
MMP13
MMP2
MMP27
MMP3
MMP9
MTHFD1
MTHFR
MTR
NGB
NHLRC1
NIPBL
NOX4
OPN3
PCSK9
PPM1H
SIRT4
SIRT5
SLC16A14
SLC2A13
SMOC1
SMOC2
SNAI1
SPP1
SUB1
TIMP2
TMPRSS2
TYMS
UROS
WNT2
WNT2B
WNT3
WNT5A
WNT5B
WNT6
WNT7B
Wnt9b
ZFYVE9
C1QBP
C1QC
C1S
C3
C3AR1
C4A
C4B
C5
C5AR1
C7
CA14
CA2
CA3
CA4
CACNB1
CACNB2
CACNG1
CACNG4
CADM1
CALB1
CALB2
CALD1
CALM1
CALM3
CAMK2A
CAMK4
CAMKK2
CAMTA1
CAP2
CAP350
CAPN2
CAPN7
CAPZA2
CARHSP1
CASP10
CAST
CAV1
CAV2
CBFA2T2
CBLB
CBS
CBX4
CBX5
CCDC88C
CCKBR
CCL5
CCND2
CCNG2
CCNH
CCNL2
CCR1
CCR7
CD134
CD14
CD163
CD244
CD27
CD28
CD2AP
CD3G
CD44
CD46
CD47
CD5
CD55
CD58
CD59
CD7
CD80
CD96
CD97
CDC14B
CDC16
CDC26
CDC2L5
CDC40
CDC42EP3
CDC5L
CDH13
CDH22
CDHR2
CDK11A
CDK2
CDK5R1
CDKN2C
CDO1
CDV3
CDYL
CEACAM4
CELF1
CELF2
CENPO
CENTA1
CENTD3
CEP57
CETN3
CFDP1
CFH
CFHR1
CFLAR
CGI-119
CGI-30
CGI-38
CGI-51
CHAD
CHCHD3
CHCHD4
CHPT1
CHRNA1
CHST2
CHSY1
CHTF18
CIRBP
CITED2
CITED4
CKLF
CKLFSF7
CKMT2
CLASRP
CLDN5
CLEC2B
CLIC1
CLIC2
CLIC4
CLIP1
CLK1
CLN8
CLPX
CLSTN1
CLTB
CMAS
CMT2
CNIH4
CNOT8
CNTN1
COA1
COBLL1
COG5
COL4A3BP
COMT
COPA
COPS5
COPS6
COQ3
COX10
COX11
COX4I1
COX7A2
COX7A3
COX7C
CPD
CPNE3
CPSF1
CPSF2
CPSF7
CPT1B
CR2
CRADD
CREBL2
CREBZF
CRF
CRH
CRIM1
CRKL
CRMP5
CRTC3
CRY2
CRYAB
CS
CSNK1A1
CSNK2A1
CSNK2A2
CSPP1
CSRP1
CSRP2BP
CSTF3
CTBP1
CTBS
CTH
CTL2
CTNNA1
CTNNBIP1
CTSA
CUGBP1
CUL4B
CX3CL1
CX3CR1
CXCL1
CXCL10
CXCL12
CXCL14
CXCL16
CXCL2
CXCL5
CXCR3
CXCR7
CXXC1
CYB561
CYCS
CYFIP1
CYP1B1
CYP2A6
CYP4X1
D4S234E
DAAM1
DAAM2
DAT1
DATF1
DAZAP1
DBP
DC13
DCHS1
DCK
DCLRE1C
DCOHM
DDR1
DDT
DDX11
DDX12
DDX17
DDX23
DDX24
DDX3X
DDX42
DDX55
DDX9
DEAF1
DECR1
DEDD
DEFA1
DERL1
DEXI
DFFB
DGCR8
DGKA
DHRS3
DHX15
DICER1
DIMT1L
DIS3
DKK3
DLAT
DLD
DLEU1
DLG1
DLNB14
DMD
DMRT2
DNAJA2
DNAJC7
DNASE1L1
DNM1L
DNTTIP2
DPEP2
DPF2
DPH5
DPYD
DPYSL3
DSC1
DTNBP1
DUSP13
DUSP19
DUSP2
DUSP4
DUSP5
DUSP6
DUT
DXS542
DYNC1H1
DYNC1I1
DYRK1A
DYRK2
DYRK4
DZIP3
E2F4
E2IG5
EBNA1BP2
ECHDC1
ECHDC2
ECM2
ECPAS
ECSIT
EDAR
EDEM3
EEF2K
EFCAB7
EFEMP2
EFS
EFTUD2
EGLN1
EGR2
EGR3
EHD3
EHMT1
EIF2C2
EIF2C4
EIF3M
EIF4A1
EIF4B
EIF4EBP1
EIF4G3
EIF4H
EIF5A
ELAVL1
ELF2
ELL2
ELMO3
ELOVL5
EML4
EMR1
ENPP5
ENSA
EP400
EPB41
EPB41L2
EPB41L3
EPC1
EPM2A
ERBB3
ERGIC3
ERP27
ET
ETF1
ETFDH
ETNK1
ETS2
ETV6
EVA1
EWSR1
EXOC5
EXOC7
EYA1
F13A1
FAAH
FABP3
FADS1
FAIM3
FAM11A
FAM210A
FANCC
FANCG
FANCL
FASTK
FAXDC2
FBLN5
FBXL4
FBXO21
FBXO22
FBXW11
FCER1A
FCER1G
FCGBP
FCGR1A
FCGR1B
FCGR2A
FCGR3B
FCGRT
FDXR
FERMT2
FEZ1
FEZ2
FGF1
FGF12
FGF13
FGF2
FGFR2
FGFR3
FH
FHOD1
FIGF
FKBP14
FKBP1A
FKBP5
FKSG28
FLI1
FLNA
FLNB
FLOT1
FLOT2
FLRT3
FLT3LG
FLVCR2
FNTA
FOSL2
FOXC1
FOXG1
FOXJ3
FOXN3
FOXO1A
FRA
FRAG1
FRDA
FRMPD4
FRY
FST
FTL
FUBP3
FUS
FUT6
FXR1
FXYD5
FYN
FZD7
FZR1
G22P1
G3BP1
G3BP2
G6PD
GABPA
GABRB3
GABRD
GAD1
GADD45G
GAL3ST4
GALK2
GALNT7
GAPVD1
GARNL1
GART
GATM
GCN1
GDA
GDE1
GDI2
GET4
GFAP
GFPT1
GFRA2
GGA2
GGA3
GGH
GGT1
GGTL3
GIPC1
GIT2
GJA1
GLE1
GLG1
GLRX
GLRX2
GLRX3
GLUD1
GNA11
GNA12
GNA13
GNAQ
GNB5
GNE
GNG11
GNG12
GNPNAT1
GNPTAG
GOLGA4
GOLGB1
GORASP2
GOSR2
GOT2
GP5
GPC4
GPC5
GPR1
GPR137B
GPR49
GPRC5B
GRAP2
GRHPR
GRIA1
GRIN2A
GRK5
GRSF1
GSN
GSPT1
GUSBP1
GW128
GYG1
GYPC
H11
H1FX
H3F3B
HABP4
HADHA
HBB
HBLD2
